HS4,Trade Value,Year
Plaiting Products,383040.0,2020
Live Fish,5914483.0,2012
Textile Fiber Machinery,1709796.0,2017
Nonaqueous Paints,7729907.000000001,2010
Antibiotics,116305.0,2001
Fishing Ships,3985147.0,2018
Combustion Engines,30270.0,1997
Synthetic Tanning Extracts,611.0,2006
Packaged Sewing Sets,83631.99999999999,2007
Horses,76809.0,1997
Excavation Machinery,2241796.0,2003
Processed Crustaceans,32551611.999999996,2007
Wood Kitchenware,123624.0,2010
Precious Metal Watches,1449583.0,1998
Hydrometers,23363.0,2005
Other Carpets,610534.0,2006
Electric Generating Sets,7179926.0,2016
Chlorides,79487.0,2016
Navigation Equipment,8991713.0,2005
Legumes,283396294.0,2017
Margarine,2489922.0,2003
Artificial Textile Machinery,87062.0,1996
Barium Sulphate,17358130.0,2003
Light Rubberized Knitted Fabric,7200154.0,2009
Special Purpose Ships,249153.0,2018
Textiles for technical uses,5558916.0,2022
Natural Polymers,93126.0,2006
Wood Stakes,1264.0,2000
Retail Wool or Animal Hair Yarn,5878.0,2004
Antibiotics,2756894.0,2015
Brooms,34678.0,1999
Rubber Inner Tubes,358046.0,1996
Sawn Wood,607635.0,1999
Antimony,109041.0,2018
Cooking Hand Tools,208267.00000000003,2014
Raw Cotton,33329.0,2018
Photographic Film,2961.0000000000005,2018
Curbstones,6365.0,1996
Combs,18987.0,1996
Pulley Systems,1362927.0,2021
Wood Fiberboard,5130.0,1998
Flat-Rolled Iron,9716.000000000002,2009
Glass Bottles,5772918.0,1996
Titanium Ore,158.0,2005
Filing Cabinets,2858.0,2009
Flat Flat-Rolled Steel,25522.0,2002
Integrated Circuits,281917785.0,2021
Metal Office Supplies,11911.0,2002
Particle Board,17691.999999999996,2004
Hot-Rolled Iron,10237147.0,2014
Non-Mechanical Removal Machinery,206821.0,2012
Glass Bulbs,3198.0,2013
Other Small Iron Pipes,7146189.0,2008
Sulfates,1690760.0,2012
Other Leather Articles,1493192.0,2022
Aluminium Housewares,408997.0,1999
Other Plastic Sheetings,4591568.0,2003
Monofilament,1381172.0,2002
Large Construction Vehicles,15153975.0,2008
Paper Pulp Filter Blocks,3.0,2006
Soap,17167977.0,2019
Knit Babies' Garments,42936032.0,2014
Woven Fabrics,704818.0,2021
Soybeans,6050.0,2018
Rubber Sheets,103990.0,2004
Other Women's Undergarments,44453881.0,1997
Non-Retail Artificial Staple Fibers Sewing Thread,1872863.0,2021
Polishes and Creams,182101.0,2021
Oxygen Amino Compounds,15287.0,2012
Hair Products,9580852.0,2013
Liquid Dispersing Machines,674629.0,2009
Phosphinates (hypophosphites) and phosphonates (phosphites),53314.0,2007
Linoleum,4010.0,2012
Cellulose Fibers Paper,2076001.0,2002
Magnesium,7821050.0,2013
Umbrella and Walking Stick Accessories,5014.0,2013
Electrical Parts,48737.0,2003
Curbstones,5327.0,2003
Other Sugars,1051848.0,2004
Other Vegetable Fibers Yarn,1140.0,2000
Animal Extracts,234792.0,2001
Petroleum Coke,3382491.0,1998
Garden Tools,70420.0,2000
Synthetic Filament Yarn Woven Fabric,4605028.0,2011
Cast or Rolled Glass,36558.0,2005
Umbrellas,163144.0,2017
Petroleum Jelly,186940.0,2019
Non-Knit Women's Shirts,225437962.0,2006
Pure Olive Oil,24540356.0,2013
Synthetic Coloring Matter,2659156.0,2011
Pulley Systems,3260075.0,2017
Monofilament,1508954.0,2004
Leather Apparel,20290954.0,2000
Other Agricultural Machinery,90231.0,2006
Tanned Goat Hides,700764.0,2008
Float Glass,1096781.0,2014
Unprocessed Synthetic Staple Fibers,215182.0,2013
Sorghum,16227.0,2016
Photographic Plates,82849.0,2010
Semi chemical Woodpulp,675674.0,2006
Other Processed Vegetables,174343014.0,2014
Processed Egg Products,16069.000000000002,2021
Refractory Ceramics,436688.0,2003
Knives,29153.0,2020
Spice Seeds,3714343.0,1995
Potassic Fertilizers,5656232.0,2005
Tanned Goat Hides,1851816.0,2011
Milk,1111653.0,2020
Wood Frames,1777996.0,2011
Aluminium Pipes,905554.0,2013
Other Vegetable Fibers Yarn,8256.0,1995
Passenger and Cargo Ships,934177.0,1995
Maps,16534.0,2006
Flax Fibers,12889.000000000002,2001
Pig Meat,148348.0,1996
Beer,1421031.0,2008
Integrated Circuits,214236825.0,2002
Kaolin,5075062.0,2021
Other Carbon Paper,173736.0,2005
Metal Pickling Preparations,15625.0,2020
Other Processed Vegetables,111958094.0,2004
Cars,1134633.0,2001
Polyamide Fabric,22534.000000000004,2010
Non-Knit Men's Shirts,139803255.0,2005
Other Fruits,45099262.0,2003
Knitting Machines,378484.0,1999
Pasta,85588195.0,2022
Processed Tobacco,33258.0,2006
Pharmaceutical Rubber Products,363130.0,2016
Therapeutic Appliances,18824.0,2012
Bananas,2173567.0,2008
Metal Molds,17683833.0,2019
Rare-Earth Metal Compounds,268.0,2005
Cyanides,3135.0,2001
Video Displays,2997344.0,2016
Milk,382159.00000000006,2006
Scrap Lead,2479787.0,2006
Industrial Furnaces,965632.0,2007
Other Coloring Matter,109366.0,2001
Aluminium Structures,5670.0,1995
Hat Forms,77.0,2001
Sulfonamides,22613.000000000004,2000
Blankets,6427857.0,2006
Metalworking Machine Parts,1611377.0,2020
Hat Shapes,469.0,2014
Soldering and Welding Machinery,105577.0,2015
Molasses,2627429.0,2002
Sulphur,15496.0,2001
Pastes and Waxes,11126.0,2001
Cocoa Paste,3207.0,2010
Cocoa Powder,1.0,2016
Rubber Sheets,643119.0,2021
Electric Filament,184416.0,2004
Conveyor Belt Textiles,14694.0,2020
Non-Knit Women's Coats,229856045.0,2022
Other Leather Articles,3055949.0,2019
Potato Flours,14830.0,1998
Electromagnets,58428.0,2005
Sheep and Goats,5875.0,1997
Synthetic Coloring Matter,446963.0,2000
Non-Retail Carded Wool Yarn,115957.0,2018
Small Iron Containers,204788.0,2002
Recreational Boats,42291.0,2022
Cotton Sewing Thread,748989.0,2004
Carboxyamide Compounds,70698.00000000001,2009
Soybean Meal,151497.0,2013
Flat panel displays,3565935.0,2002
Handkerchiefs,477919.0,2009
Other Slag and Ash,5716.0,2011
Large Coated Flat-Rolled Iron,1684692.0,2011
Cocoa Butter,852.0,2016
Zippers,796668.0,2008
Metal Lathes,6790.0,2002
Rubber Apparel,387220.0,2011
Sound Recording Equipment,577969.0,2008
Stearic Acid,10874010.0,2011
Other Knit Garments,9266051.0,2002
Other Vegetable Products,361214.0,2010
Manganese Oxides,199.0,2008
Artistry Paints,839.0000000000001,1995
Non-Retail Artificial Filament Yarn,1699.0,2014
Refractory Cements,45910.0,2022
Paper Notebooks,2577710.0,2016
Nonaqueous Paints,2507125.0,1998
Phosphoric Acid,705231294.0,2004
Dextrins,12793.0,2000
Cucumbers,1313044.0,1999
Fluorides,7940.0,2021
Antimony,108881.0,2019
Fish Fillets,9647087.0,1999
Sand,6572629.000000001,2005
Other Knit Clothing Accessories,5883850.0,2008
Electrical Transformers,60870010.0,2018
Brooms,68922.0,2002
Scrap Aluminium,58350338.0,2017
Large Construction Vehicles,10960789.0,2020
Metal Pickling Preparations,5610.999999999999,1995
Porcelain Tableware,445106.0,1996
Milk,39075.0,2005
Refined Copper,4715025.0,2012
Video Cameras,16660.0,2021
Transmissions,473023.0,2001
Other Lead Products,24003.0,2012
Gas and Liquid Flow Measuring Instruments,207343.0,1998
Other Nuts,4957013.0,1996
Felt or Coated Fabric Garments,15806920.0,2001
Tulles and Net Fabric,758551.0,2001
Corrugated Paper,105877.0,2003
Gelatin,1679.0,2010
Medical Furniture,129147.0,2005
Wood Kitchenware,92493.0,2005
Non-powered Aircraft,1534.0,2012
Knitting Machine Accessories,934415.0,2017
Jute and Other Textile Fibers,282.0,2003
Photographic Paper,2700.0000000000005,2013
Stone Processing Machines,119005.0,2000
Worked Ivory and Bone,2457636.0,2015
Artificial Filament Sewing Thread,545693.0,2007
Scrap Nickel,471021.00000000006,2003
Animal Organs,34511666.0,2012
Knit Socks and Hosiery,23331255.0,2002
Rough Wood,605421.0,2007
Refined Copper,489456.0,2000
Iron Fasteners,638670.0,1996
Other Articles of Twine and Rope,13256.0,2007
Other Musical Instruments,35116.0,2010
Ornamental Trimmings,629916.0,2020
Pharmaceutical Animal Products,84758.0,2014
Processed Egg Products,909.0,2012
Tar,116218.0,2002
Textiles for technical uses,152306.0,2000
Pharmaceutical Rubber Products,5488.0,2022
Antiknock,4340.0,2000
Cars,4053314603.0,2016
Image Projectors,10693.0,2008
Eyewear,236888.0,2015
Amino-resins,1732527.0,2011
Photo Lab Equipment,325300.0,2016
Tin Bars,595.0,2008
Other Uncoated Paper,1350757.0,2005
Revenue Stamps,16513.0,2002
Sausages,210232.0,2018
Sowing Seeds,5013753.0,2019
Hydraulic Brake Fluid,4471.999999999999,2001
Acyclic Alcohols,25691.0,2010
Other Precious Metal Products,11906076.0,1999
Pepper,4285176.0,2019
Milk,6352577.0,2022
Image Projectors,81639.0,1995
Nitrile Compounds,4026.0,2002
Blank Audio Media,290491.0,1995
Passenger and Cargo Ships,896980.0,1997
Nonaqueous Pigments,156903.0,2015
Revolution Counters,7107518.000000001,2009
Non-Retail Silk Yarn,5241.000000000001,2008
Baby Carriages,25435.0,2016
Clocks with Watch Movements,9.000000000000002,2004
Pens,312460.0,2018
Photo Lab Equipment,262819.0,1999
Pig Iron,4063.0,2022
Other Electrical Machinery,4072214.0,2005
Liquid Fuel Furnaces,5859.0,1997
Photographic Chemicals,5337185.000000001,2001
Steam Boilers,3818051.0,2014
Scrap Aluminium,43743803.0,2010
Detonating Fuses,34608.0,2009
Coconut Oil,20190.0,1996
Textile Scraps,4274.0,1996
Confectionery Sugar,2671301.0,2003
Lead Ore,10409970.0,2001
Cassava,54496.0,2003
Electric Furnaces,292584.0,2008
Other Inedible Animal Products,11385803.0,2016
Window Dressings,1655396.0,2005
Bulbs and Roots,2421696.0,2007
Copper Wire,1195992.0,2014
Densified Wood,14772.000000000002,1998
Non-fillet Frozen Fish,204458383.0,2013
Poultry Meat,7680074.0,2021
Other Oily Seeds,607911.0,2016
Synthetic Monofilament,206807.0,2021
Vermouth,6802.000000000001,1998
Combs,82279.0,2008
Frozen Bovine Meat,22950.0,2011
Brooms,59153.0,1996
Leather Apparel,33610016.0,2008
Filing Cabinets,15150.000000000002,2015
Headbands and Linings,3237262.0,2010
Polyacetals,2127536.0,2010
Textile Scraps,1914487.0,2019
Ethers,194801.0,2006
Audio Alarms,682590.0,2000
Essential Oils,42072803.0,2017
Spark-Ignition Engines,446648.0,2012
Paper Containers,3804675.0,2000
Calculators,7651.0,1995
Cut Flowers,3168146.0,2004
Hops,1062.0,2001
Other Carpets,597850.0,2015
Synthetic Reconstructed Jewellery Stones,22724.0,2016
Rubber,139139.0,2022
Metalworking Machines,45098.0,2002
Motorcycles and cycles,181606.0,2007
Work Trucks,100265.0,2019
Electricity,917861.0,2013
Cellulose Fibers Paper,3035637.0,2004
Coated Metal Soldering Products,1191829.0,2018
Other Nuts,6374880.0,2012
Cheese,58423736.0,2019
Combs,93180.0,2019
Hand-Woven Tapestries,12935.0,2015
Other Vegetable Fibers Yarn,98.0,2021
Soapstone,4.0,2015
Drilling Machines,74177.0,2004
Paper Spools,46271.0,2013
Dyeing Finishing Agents,15841.0,2000
Hand-Woven Rugs,7340510.0,2004
Tomatoes,672039252.0,2015
Peat,205430.0,2018
Pesticides,2965379.0,2005
Metal Insulating Fittings,799128.0,2008
Legumes,275965884.0,2021
Other Vegetable Residues,20848.000000000004,2006
Scrap Waste,4300483.0,2022
Paper Labels,337367.0,1998
Furskin Apparel,30023.0,2021
Vacuum Flask,9743.0,1998
Magnesium Carbonate,75096.0,2021
Iron Sewing Needles,7204.0,2001
Chamois Leather,139719.0,2021
Sound Recording Equipment,64626.00000000001,2007
Chromium Oxides and Hydroxides,49762.0,2013
Insulating Glass,28833.0,2017
Other Hand Tools,1009207.0,2019
Glycerol,17313.0,2016
Engine Parts,3537298.0,1997
Knitting Machine Accessories,892205.0,2014
Telephones,5861263.0,2018
Image Projectors,155.0,2020
Pencils and Crayons,70195.0,1998
"Industrial Fatty Acids, Oils and Alcohols",148758.0,1995
Raw Lead,76183585.0,1996
Antifreeze,1827083.0,2022
Peptones,31.0,2007
Dairy Machinery,71676.0,2011
Coffee,116321.0,2007
Glazed Ceramics,4555397.0,2008
Dried Legumes,12366677.0,2017
Semi chemical Woodpulp,724945.0,2002
Aluminium Foil,619420.0,2022
Vinegar,383480.0,2009
Letter Stock,13884.0,1995
Embroidery,2359972.0,2002
Petroleum Coke,1049490.0,1996
Cleaning Products,8267669.0,2018
Labels,170873.0,1996
Stainless Steel Wire,25352.0,2015
Vegetable Tanning Extracts,12772.0,2020
Lake Pigments,13890.0,2020
Gelatin,14068.0,2002
Other Electrical Machinery,11366518.0,2015
Other Iron Bars,36589.0,1996
Lighters,63162.0,2007
Toilet Paper,2623604.0,2011
Dental Products,302844.0,2012
Potatoes,28527712.0,1996
Instructional Models,430349.0,2019
Essential Oils,44750717.0,2018
Metal Mountings,611683.0,2006
Glues,316593.0,2004
Other Carpets,434442.0,2001
Other Stainless Steel Bars,452660.0,2020
Tractors,256581.0,1999
Unsaturated Acyclic Monocarboxylic Acids,33451.00000000001,2005
Pharmaceutical Animal Products,2492.0,2010
